Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
;V;V;V;A;A;A;V;V;V
0;4.971844555;-9660.293971;9729.899795;-2.912910503;0.647313445;3.236567225;9665.265815;-19390.19377;9724.92795
0.000065;288.3669842;-9814.421152;9565.828924;-2.58925378;0.970970168;3.236567225;10102.78814;-19380.25008;9277.46194
0.000130;536.959212;-9978.492022;9401.758054;-2.58925378;0.647313445;3.236567225;10515.45123;-19380.25008;8864.798842
0.000196;780.5795952;-10107.75998;9277.46194;-2.912910503;0.647313445;3.236567225;10888.33958;-19385.22192;8496.882345
0.000261;1063.974735;-10232.05609;9118.362914;-2.58925378;0.647313445;3.236567225;11296.03083;-19350.41901;8054.388179
0.000326;1352.341719;-10316.57745;8989.094956;-2.58925378;0.647313445;3.560223948;11668.91917;-19305.67241;7636.753237
0.000391;1595.962102;-10435.90172;8829.99593;-2.58925378;0.323656723;3.236567225;12031.86382;-19265.89765;7234.033828
0.000457;1839.582485;-10520.42308;8670.896904;-2.58925378;0.647313445;3.560223948;12360.00556;-19191.31998;6831.314419
0.000522;2083.202869;-10639.74735;8476.994967;-2.58925378;0.323656723;3.560223948;12722.95022;-19116.74231;6393.792098
0.000587;2371.569853;-10759.07162;8302.980407;-2.912910503;0.323656723;3.236567225;13130.64147;-19062.05202;5931.410554
0.000652;2654.964992;-10848.56482;8109.07847;-2.58925378;0.323656723;3.560223948;13503.52981;-18957.64329;5454.113477
0.000718;2898.585376;-10893.31142;7935.06391;-2.58925378;0.323656723;3.560223948;13791.8968;-18828.37533;5036.478534
0.000783;3186.95236;-10933.08618;7741.161972;-2.912910503;0;3.560223948;14120.03854;-18674.24815;4554.209613
0.000848;3470.3475;-11047.4386;7537.316346;-2.58925378;0.323656723;3.88388067;14517.7861;-18584.75495;4066.968846
0.000913;3753.742639;-11131.95996;7303.639652;-2.58925378;0.323656723;3.88388067;14885.7026;-18435.59961;3549.897012
0.000979;4002.334867;-11141.90365;7089.850336;-2.58925378;0;3.88388067;15144.23852;-18231.75398;3087.515469
