;V1;V2;V3;A1;A2;A3;U1;U2;U3
;V;V;V;A;A;A;V;V;V
0,000000;129,2679584;-9729,899795;9714,984261;-2,265597058;0,970970168;3,560223948;9859,167753;-19444,88406;9585,716302
0,000065;412,6630981;-9829,336686;9565,828924;-2,265597058;0,970970168;3,560223948;10241,99978;-19395,16561;9153,165826
0,000130;656,2834813;-9978,492022;9436,560966;-2,265597058;0,970970168;3,88388067;10634,7755;-19415,05299;8780,277485
0,000196;944,6504655;-10072,95707;9282,433785;-2,265597058;0,647313445;3,560223948;11017,60753;-19355,39085;8337,783319
0,000261;1188,270849;-10187,30949;9153,165826;-2,265597058;0,970970168;3,88388067;11375,58034;-19340,47532;7964,894977
0,000326;1431,891232;-10311,60561;9028,869712;-2,265597058;0,970970168;3,88388067;11743,49684;-19340,47532;7596,97848
0,000391;1675,511615;-10435,90172;8874,742531;-1,941940335;0,647313445;3,560223948;12111,41334;-19310,64425;7199,230916
0,000457;1963,878599;-10485,62017;8680,840593;-1,941940335;0,647313445;3,88388067;12449,49877;-19166,46076;6716,961994
0,000522;2247,273739;-10599,97259;8476,994967;-1,941940335;0,647313445;3,88388067;12847,24633;-19076,96756;6229,721228
0,000587;2490,894122;-10684,49395;8337,783319;-2,265597058;0,647313445;3,88388067;13175,38807;-19022,27727;5846,889197
0,000652;2734,514505;-10764,04346;8148,853226;-1,941940335;0,647313445;3,88388067;13498,55797;-18912,89669;5414,338721
0,000718;3022,88149;-10848,56482;7945,007599;-2,265597058;0,647313445;3,88388067;13871,44631;-18793,57242;4922,12611
0,000783;3266,501873;-10967,88909;7741,161972;-2,58925378;0,647313445;4,207537393;14234,39096;-18709,05106;4474,6601
0,000848;3549,897012;-11017,60753;7537,316346;-2,265597058;0,647313445;4,207537393;14567,50455;-18554,92388;3987,419333
0,000913;3838,263997;-11092,1852;7333,470719;-2,265597058;0,323656723;4,207537393;14930,4492;-18425,65592;3495,206722
0,000979;4081,88438;-11136,9318;7099,794025;-2,265597058;0,323656723;4,207537393;15218,81618;-18236,72583;3017,909645
0,001044;4365,279519;-11181,6784;6856,173642;-2,265597058;0,323656723;4,207537393;15546,95792;-18037,85205;2490,894122
0,001109;4613,871747;-11186,65025;6642,384326;-2,265597058;0,323656723;4,207537393;15800,522;-17829,03458;2028,512579
0,001174;4897,266887;-11221,45316;6408,707632;-2,265597058;0;4,207537393;16118,72005;-17630,16079;1511,440745
0,001239;5140,88727;-11261,22792;6165,087248;-1,941940335;0;4,207537393;16402,11519;-17426,31517;1024,199978
0,001305;5384,507653;-11301,00267;5916,495021;-1,941940335;0;4,531194115;16685,51033;-17217,49769;531,9873674
0,001370;5633,099881;-11305,97452;5702,705705;-2,265597058;-0,323656723;4,207537393;16939,0744;-17008,68022;69,60582377
0,001435;5836,945508;-11271,17161;5439,197943;-1,941940335;0;4,531194115;17108,11711;-16710,36955;-397,7475644
0,001500;6040,791135;-11231,39685;5215,464938;-1,941940335;0;4,531194115;17272,18798;-16446,86179;-825,3261962
0,001566;6324,186274;-11226,42501;4951,957177;-1,941940335;-0,323656723;4,207537393;17550,61128;-16178,38218;-1372,229097
0,001631;6567,806657;-11226,42501;4698,393105;-1,941940335;-0,323656723;4,531194115;17794,23166;-15924,81811;-1869,413553
0,001696;6771,652284;-11191,62209;4419,96981;-1,941940335;-0,323656723;4,531194115;17963,27438;-15611,5919;-2351,682475
0,001761;6975,497911;-11146,87549;4136,57467;-1,941940335;-0,647313445;4,531194115;18122,3734;-15283,45016;-2838,923241
0,001827;7219,118294;-11107,10074;3853,17953;-1,618283613;-0,647313445;4,531194115;18326,21903;-14960,28027;-3365,938764
0,001892;7467,710522;-11067,32598;3564,812546;-1,618283613;-0,647313445;4,531194115;18535,0365;-14632,13853;-3902,897976
0,001957;7671,556149;-11027,55122;3311,248474;-1,941940335;-0,647313445;4,531194115;18699,10737;-14338,7997;-4360,307675
0,002022;7830,655174;-10948,00171;3037,797023;-1,618283613;-0,647313445;4,531194115;18778,65689;-13985,79873;-4792,858151
0,002088;8034,500801;-10833,64929;2749,430039;-1,618283613;-0,647313445;4,531194115;18868,15009;-13583,07932;-5285,070762
0,002153;8238,346428;-10783,93084;2495,865967;-1,618283613;-0,970970168;4,531194115;19022,27727;-13279,79681;-5742,480461
0,002218;8442,192055;-10704,38133;2252,245584;-1,29462689;-0,647313445;4,531194115;19146,57338;-12956,62691;-6189,946471
0,002283;8566,488169;-10624,83181;1978,794133;-1,29462689;-0,970970168;4,531194115;19191,31998;-12603,62595;-6587,694036
0,002348;8730,559039;-10470,70463;1690,427149;-1,29462689;-0,970970168;4,531194115;19201,26367;-12161,13178;-7040,13189
0,002414;8894,629909;-10376,23959;1407,032009;-0,970970168;-0,970970168;4,531194115;19270,8695;-11783,2716;-7487,5979
0,002479;9098,475536;-10296,69007;1153,467937;-1,29462689;-0,970970168;4,531194115;19395,16561;-11450,15801;-7945,007599
0,002544;9217,799805;-10177,3658;904,875709;-1,29462689;-0,970970168;4,531194115;19395,16561;-11082,24151;-8312,924096
0,002609;9342,095919;-10058,04154;631,4242585;-0,970970168;-0,970970168;4,531194115;19400,13745;-10689,46579;-8710,671661
0,002675;9506,16679;-9933,745421;348,0291189;-0,970970168;-0,970970168;4,531194115;19439,91221;-10281,77454;-9158,137671
0,002740;9665,265815;-9809,449307;59,66213466;-0,970970168;-1,29462689;4,531194115;19474,71512;-9869,111442;-9605,603681
0,002805;9789,561929;-9690,125038;-223,733005;-0,970970168;-0,970970168;4,854850838;19479,68697;-9466,392033;-10013,29493
0,002870;9913,858043;-9565,828924;-477,2970773;-0,970970168;-0,970970168;4,854850838;19479,68697;-9088,531847;-10391,15512
0,002936;9993,407556;-9371,926987;-720,9174605;-0,970970168;-1,29462689;4,531194115;19365,33454;-8651,009526;-10714,32502
0,003001;10117,70367;-9237,687184;-999,3407556;-0,647313445;-1,29462689;4,854850838;19355,39085;-8238,346428;-11117,04443
0,003066;10237,02794;-9083,560002;-1282,735895;-0,647313445;-1,29462689;4,854850838;19320,58794;-7800,824107;-11519,76383
0,003131;10361,32405;-8919,489132;-1506,4689;-0,647313445;-1,29462689;4,531194115;19280,81319;-7413,020232;-11867,79295
0,003196;10440,87357;-8790,221174;-1774,948506;-0,323656723;-0,970970168;4,531194115;19231,09474;-7015,272667;-12215,82207
0,003262;10525,39492;-8631,122148;-2058,343646;-0,647313445;-1,29462689;4,531194115;19156,51707;-6572,778502;-12583,73857
0,003327;10644,71919;-8432,248366;-2311,907718;-0,647313445;-1,29462689;4,531194115;19076,96756;-6120,340647;-12956,62691
0,003392;10729,24055;-8302,980407;-2555,528101;-0,323656723;-1,29462689;4,854850838;19032,22096;-5747,452306;-13284,76865
0,003457;10808,79006;-8109,07847;-2833,951396;-0,323656723;-1,29462689;4,531194115;18917,86853;-5275,127073;-13642,74146
0,003523;10888,33958;-7900,260998;-3147,177603;-0,323656723;-1,29462689;4,854850838;18788,60057;-4753,083395;-14035,51718
0,003588;10972,86093;-7696,415371;-3445,488277;0;-1,29462689;4,854850838;18669,2763;-4250,927095;-14418,34921
0,003653;11012,63569;-7492,569745;-3728,883416;0;-1,29462689;4,854850838;18505,20543;-3763,686328;-14741,51911
0,003718;11052,41045;-7288,724118;-3952,616421;0;-1,618283613;4,854850838;18341,13456;-3336,107697;-15005,02687
0,003784;11092,1852;-7050,075579;-4216,124183;0,323656723;-1,29462689;5,178507561;18142,26078;-2833,951396;-15308,30939
0,003849;11176,70656;-6841,258108;-4504,491167;0,323656723;-1,29462689;5,178507561;18017,96467;-2336,766941;-15681,19773
0,003914;11216,48132;-6637,412481;-4787,886307;0,323656723;-1,618283613;4,854850838;17853,8938;-1849,526175;-16004,36762
0,003979;11216,48132;-6354,017342;-5041,450379;0,647313445;-1,29462689;4,854850838;17570,49866;-1312,566963;-16257,9317
0,004045;11216,48132;-6145,19987;-5285,070762;0,647313445;-1,29462689;4,854850838;17361,68119;-860,1291081;-16501,55208
0,004110;11216,48132;-5906,551332;-5498,860078;0,647313445;-1,618283613;4,854850838;17123,03265;-407,6912535;-16715,34139
